X,Y,OBJECTID,STATUS,NAME,ACISA,ISNUM,INT_,STAGE,N7,SECT,COMMCAB,COMMLINE,SWITCH,FDRPAIR,VPAIR,TRUNK,TRNKPAIR,DIST,DISTPAIR,SUBFEED,SUBFEEDPR,CHANNUM,COMMENTS,REVNUM,CONT_TYPE,SPACE_,B,TSNUM,QUICNETID
-76.933625922293743,38.882281154257292,908,M,"BENNING RD AND F ST, SE",4066,1026,1026,4, ,456,12-F07T,424,2,"PR(01,02)",12,100-T07,"PR(90,91)",50-D07,"PR(15,16)",25-F07R,"PR(07,08)",36, ,1,ACTUATED, , , ,856
-76.933042437009135,38.881498982919588,909,M,"BENNING RD AND G ST, SE",4067,1027,1027,4, ,456,12-F07T,424,3,"PR(01,02)",12,100-T07,"PR(90,91)",50-D07,"PR(15,16)",25-F07R,"PR(07,08)",36, ,0,INTERVAL, , , ,857
-76.931581676708163,38.878671842694281,910,M,"BENNING RD AND H ST, SE",4068,1028,1028,4, ,456,12-F07T,424,4,"PR(01,02)",12,100-T07,"PR(90,91)",50-D07,"PR(15,16)",25-F07R,"PR(07,08)",36, ,0,INTERVAL, , , ,858
-76.949162615990403,38.895140836041456,911,M,"BENNING RD AND MINNESOTA AVE, NE",4069,987,987,4, ,455,12-F07P,417,4,"PR(01,02)",12,100-T07,"PR(76,77)",50-D07,"PR(01,02)", , ,29, ,2,INTERVAL, , , ,818
-76.969494640722132,38.897701867603715,912,M,"BENNING RD AND OKLAHOMA AV, NE",4070,608,608,2, ,337,12-F07N,358,4,"PR(03,04)",12,100-T07,"PR(67,68)", , , , ,28, ,3,INTERVAL, , ,153-G,636
-76.931002572026628,38.876035013963687,913,M,"BENNING RD. AND SOUTHERN AVE.,S.E.",4071,1379,1048,4, ,456,* TEC *,424,8, , , , , , , , ,0, ,0,INTERVAL, , , ,960
-76.934320711911525,38.88311158009261,914,M,"BENNING ROAD AND 46TH STREET, SE",4072,1356,0,0, ,456,12-F07T,424,7,"PR(01,02)",12,100-T07,"PR(90,91)",50-D07,"PR(15,16)",25-F07R,"PR(07,08)",36, ,0,ACTUATED, , , ,956
-76.936161935388284,38.886556597244372,915,T,"BENNING ROAD AND C ST,SE (NORTH)",4073,1340,0,0, ,456,12-F07T,424,5,"PR(01,02)",12,100-T07,"PR(90,91)",50-D07,"PR(15,16)",25-F07R,"PR(07,08)",36, ,0,INTERVAL, , , ,950
-76.934834403680725,38.883740833541189,916,M,"BENNING ROAD AND E STREET, SE",4074,1355,0,0, ,456,12-F07T,424,6,"PR(01,02)",12,100-T07,"PR(90,91)",50-D07,"PR(15,16)",25-F07R,"PR(07,08)",36, ,0,ACTUATED, , , ,955
-76.970257334722888,38.920040051558971,917,M,"BLADENSBURG RD AND 25TH ST & V ST,",4075,609,609,2, ,335,12-F02K,335,1,"PR(01,02)",12,100-T02,"PR(51,52)",50-D02A,"PR(36,37)",25-F02G,"PR(11,12)",19, ,1,ACTUATED, , ,277-C,637
